id,x,y,INFECTED
1337,94,98,yes
573,56,84,yes
5671,68,85,yes
4369,80,46,yes
2698,87,65,yes
4243,1,90,yes
1173,71,23,yes
2780,80,41,yes
789,14,94,yes
526,61,46,yes
9273,37,2,yes
6109,2,3,yes
3209,87,63,yes
972,46,39,yes
4202,76,7,yes
3072,35,94,yes
1346,36,95,yes
4478,57,44,yes
2107,2,44,yes
8760,36,0,yes
652,58,83,yes
4459,40,24,yes
2312,60,17,yes
1623,13,20,yes
527,45,92,yes
726,89,34,yes
9322,99,79,yes
9281,53,56,yes
8833,4,63,yes
215,21,63,yes
1216,73,15,yes
4534,80,10,yes
3088,73,66,yes
8368,37,31,yes
8074,27,88,yes
1987,59,99,yes
2237,25,89,yes
7877,16,37,yes
3517,50,79,yes
742,72,9,yes
1086,54,91,yes
4466,93,2,yes
1421,25,75,yes
803,1,17,yes
5448,94,68,yes
1276,64,2,yes
9034,51,36,yes
6317,16,23,yes
7838,71,81,yes
3708,49,32,yes
79,49,70,yes
92,95,30,yes
717,94,10,yes
990,2,44,yes
4397,4,95,yes
449,86,96,yes
2651,67,48,yes
1306,0,85,yes
5386,35,92,yes
1714,72,58,yes
8092,14,27,yes
6818,38,99,yes
8952,43,42,yes
6418,40,51,yes
7120,7,51,yes
3168,27,30,yes
7808,13,93,yes
8278,13,47,yes
1648,78,17,yes
1902,38,17,yes
6065,66,73,yes
9036,45,72,yes
4834,73,86,yes
8734,77,18,yes
2007,97,86,yes
8711,48,93,yes
6565,47,53,yes
2874,24,76,yes
8254,47,58,yes
1550,80,16,yes
7277,24,54,yes
7286,91,70,yes
3966,67,77,yes
6146,1,88,yes
5740,45,60,yes
937,63,35,yes
3250,6,36,yes
8060,75,16,yes
6857,63,71,yes
2656,78,92,yes
715,95,41,yes
5686,8,95,yes
9827,5,38,yes
3221,38,51,yes
3826,48,59,yes
6177,3,26,yes
2380,66,14,yes
6635,16,99,yes
4755,44,35,yes
9748,86,14,yes
4559,7,92,no
5936,61,79,no
1645,1,26,no
312,83,67,no
1328,69,72,no
7137,47,97,no
4634,1,93,no
1472,28,49,no
1439,56,38,no
518,30,42,no
2440,64,62,no
9405,49,12,no
3458,87,52,no
2461,16,93,no
6267,65,62,no
9247,4,41,no
3414,65,31,no
4763,1,6,no
5343,16,30,no
3900,63,19,no
5760,74,95,no
447,51,40,no
2319,83,89,no
6514,5,82,no
3984,54,45,no
1189,91,84,no
1165,47,34,no
1152,74,20,no
4189,96,29,no
8012,8,34,no
6062,47,96,no
8538,15,79,no
3540,30,56,no
7179,27,56,no
698,80,69,no
4703,63,6,no
6583,81,7,no
3700,56,24,no
3881,99,74,no
9587,72,18,no
500,10,23,no
6353,87,74,no
9561,81,6,no
7565,59,70,no
6672,87,94,no
1889,55,73,no
9592,41,63,no
2846,31,32,no
6388,96,96,no
4012,38,63,no
4455,69,50,no
8994,74,66,no
7405,50,94,no
8641,23,86,no
5460,26,79,no
7432,43,25,no
3258,52,59,no
8392,82,15,no
6724,37,23,no
9137,80,29,no
4951,97,94,no
3062,25,1,no
8004,65,60,no
1952,49,44,no
4647,8,65,no
2731,37,35,no
2970,29,4,no
9513,36,13,no
4872,43,85,no
8749,15,84,no
41,87,21,no
3501,17,17,no
4906,16,33,no
2973,49,11,no
5199,73,84,no
9209,39,40,no
8770,92,53,no
7887,48,70,no
2095,45,39,no
4267,85,2,no
8162,98,93,no
8324,84,49,no
9623,92,79,no
3965,3,38,no
6553,67,61,no
9851,54,27,no
1191,73,6,no
8315,32,29,no
4686,95,54,no
3000,89,87,no
1399,40,28,no
6736,93,72,no
6216,76,37,no
2604,25,17,no
5995,34,48,no
7716,40,13,no
8474,79,36,no
3851,80,26,no
6918,20,38,no
2060,55,84,no
1375,53,52,no
7184,64,57,no
5784,29,97,no
6448,27,61,no
4407,63,84,no
74,92,67,no
3770,88,67,no
599,86,56,no
8776,6,18,no
7815,57,44,no
1602,36,22,no
6582,61,25,no
2643,47,14,no
7788,61,98,no
1283,73,73,no
7906,11,94,no
1462,86,96,no
647,33,93,no
7177,92,28,no
3175,69,22,no
8918,16,4,no
7260,1,21,no
3439,23,79,no
3083,90,6,no
7267,98,26,no
1078,8,30,no
9807,67,32,no
4569,92,78,no
5668,55,18,no
1215,69,24,no
6874,0,69,no
2482,35,28,no
8471,85,13,no
5544,67,8,no
2721,79,40,no
3384,3,71,no
5035,81,67,no
6195,15,79,no
7900,10,48,no
7843,49,29,no
2379,65,51,no
8378,49,48,no
9737,88,77,no
6744,70,50,no
4509,21,29,no
7743,43,71,no
511,79,41,no
4358,68,9,no
8960,50,22,no
9231,85,22,no
6029,87,95,no
6018,89,24,no
8910,26,77,no
9606,19,87,no
4832,25,54,no
5410,95,12,no
9659,57,86,no
6490,99,24,no
626,51,48,no
5026,71,67,no
692,87,89,no
1461,41,34,no
7746,42,37,no
1422,61,70,no
7205,20,9,no
4628,6,96,no
2453,64,17,no
4203,84,97,no
6431,11,65,no
4655,0,96,no
3153,56,28,no
7230,3,21,no
3314,58,5,no
1091,73,42,no
9357,55,30,no
4234,0,39,no
7647,18,0,no
6188,12,14,no
8481,24,33,no
9196,43,13,no
4494,56,13,no
5894,5,74,no
2514,91,43,no
7608,51,43,no
8516,72,77,no
8063,20,13,no
1049,60,16,no
3749,64,61,no
6043,65,16,no
2108,81,44,no
1113,98,33,no
1948,40,20,no
3689,22,20,no
6346,0,68,no
6809,6,20,no
19,48,8,no
3366,62,55,no
6462,32,95,no
5076,24,84,no
4684,94,26,no
3108,81,4,no
7882,42,62,no
5180,84,61,no
3527,35,90,no
1801,38,24,no
8644,1,35,no
324,31,6,no
277,62,28,no
5205,51,72,no
