id,x,y
0,66,42
1,1,86
2,60,42
3,47,11
4,53,75
5,73,32
6,87,5
7,24,88
8,7,10
9,93,75
10,20,90
11,47,34
12,45,95
13,89,75
14,9,27
15,90,9
16,0,24
17,39,96
18,17,23
19,88,75
20,47,63
21,58,42
22,9,50
23,39,5
24,79,37
25,86,35
26,49,79
27,66,53
28,26,95
29,84,6
30,87,10
31,18,4
32,52,39
33,32,6
34,66,88
35,77,96
36,25,67
37,10,78
38,80,62
39,16,56
40,37,45
41,20,93
42,95,81
43,2,77
44,29,51
45,19,7
46,27,28
47,17,86
48,86,18
49,33,55
50,11,67
51,52,22
52,5,17
53,78,23
54,57,13
55,51,20
56,20,22
57,25,2
58,69,34
59,68,83
60,59,10
61,86,29
62,80,73
63,10,82
64,60,11
65,68,28
66,98,26
67,69,31
68,20,3
69,78,17
70,89,67
71,68,46
72,24,97
73,79,9
74,7,68
75,66,35
76,30,72
77,44,3
78,86,8
79,60,22
80,5,70
81,15,20
82,26,12
83,71,26
84,11,19
85,83,86
86,5,56
87,7,83
88,90,96
89,31,58
90,24,75
91,14,98
92,18,86
93,24,79
94,16,83
95,75,17
96,6,96
97,20,2
98,69,69
99,30,73
100,42,35
101,60,49
102,34,94
103,18,15
104,5,69
105,56,21
106,12,59
107,73,93
108,80,91
109,32,97
110,85,57
111,4,17
112,86,70
113,25,77
114,95,29
115,60,74
116,26,51
117,96,4
118,62,74
119,46,43
120,14,7
121,9,11
122,83,4
123,9,41
124,41,59
125,55,70
126,53,57
127,47,93
128,4,72
129,28,76
130,68,45
131,80,15
132,88,53
133,46,88
134,12,99
135,56,27
136,61,17
137,39,17
138,52,20
139,62,54
140,55,13
141,21,59
142,48,75
143,92,21
144,34,17
145,3,28
146,82,92
147,96,18
148,93,97
149,11,61
150,72,2
151,65,64
152,58,57
153,64,28
154,80,16
155,97,89
156,43,98
157,36,71
158,67,69
159,52,97
160,10,85
161,91,71
162,9,46
163,57,94
164,81,67
165,38,62
166,66,32
167,66,29
168,91,3
169,34,80
170,15,55
171,97,1
172,47,5
173,72,23
174,68,35
175,46,68
176,91,84
177,68,62
178,51,98
179,13,86
180,22,12
181,15,13
182,86,6
183,59,73
184,73,83
185,88,29
186,25,86
187,97,85
188,36,20
189,93,7
190,0,9
191,36,18
192,59,19
193,29,7
194,59,57
195,99,82
196,13,69
197,80,6
198,18,89
199,94,24
200,21,80
201,59,14
202,51,19
203,89,0
204,40,15
205,19,54
206,36,78
207,74,6
208,7,47
209,81,56
210,67,42
211,93,49
212,74,62
213,88,55
214,56,43
215,65,2
216,33,31
217,98,62
218,91,58
219,91,65
220,10,44
221,30,20
222,5,87
223,51,48
224,8,72
225,3,74
226,18,31
227,24,52
228,98,85
229,5,98
230,26,26
231,25,72
232,55,44
233,41,85
234,59,0
235,28,14
236,6,40
237,22,38
238,55,43
239,96,89
240,73,33
241,81,52
242,60,39
243,7,79
244,15,9
245,48,85
246,24,14
247,22,80
248,18,72
249,38,67
250,26,9
251,60,14
252,91,53
253,89,95
254,5,0
255,1,77
256,82,57
257,88,23
258,63,95
259,83,76
260,55,9
261,32,37
262,24,26
263,69,94
264,15,55
265,40,98
266,17,37
267,90,11
268,92,71
269,13,80
270,53,73
271,5,48
272,99,63
273,82,87
274,67,84
275,60,95
276,43,33
277,79,63
278,13,10
279,63,91
280,9,46
281,44,79
282,39,96
283,8,95
284,44,61
285,89,20
